OID,GEOID10,Census Tract,Block Group,Block Group Name,Tract and Block Group,Gross Land Acres,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Population Change 2000-2010,Percent Population Change 2000-2010,Population Change 2010-2017,Percent Population Change 2010-2017,2017 Population Density,2010 to 2017 Population Change,2010 to 2017 Percent Population Change,2010 Population Density
376,5.3033E+11,14,3,Block Group 3,1400.3,93.59931753,1360,1358.752,1359.394,1372.871,1381.79,1396.446,1434.959,1481.23,75.949,5.92%,121.23,8.91%,15.75531915,121,8.9,14.46808511
377,5.3033E+11,4.02,2,Block Group 2,402.2,185.4251597,937,938.256,938.535,942.363,944.858,960.665,965.088,987.536,-1.036,-0.11%,50.536,5.39%,5.340540541,51,5.4,5.064864865
378,5.3033E+11,5,2,Block Group 2,500.2,99.95684477,877,876.257,876.308,879.293,875.891,887.916,905.531,931.302,15.964,1.85%,54.302,6.19%,9.31,54,6.2,8.77
379,5.3033E+11,32,6,Block Group 6,3200.6,138.9888093,1567,1558.746,1559.453,1572.464,1585.624,1616.001,1652.632,1698.38,210.946,15.56%,131.38,8.38%,12.21582734,131,8.4,11.27338129
380,5.3033E+11,30,1,Block Group 1,3000.1,101.5054542,1604,1594.031,1595.712,1603.34,1615.102,1630.368,1645.507,1687.272,89.94,5.94%,83.272,5.19%,16.53921569,83,5.2,15.7254902
381,5.3033E+11,30,4,Block Group 4,3000.4,80.26081617,1294,1292.981,1295.557,1302.313,1306.273,1333.283,1353.912,1382.761,80.952,6.67%,88.761,6.86%,17.2875,89,6.9,16.175
382,5.3033E+11,24,3,Block Group 3,2400.3,95.4437121,1202,1188.464,1193.627,1200.937,1208.315,1223.398,1239.644,1262.332,136.956,12.86%,60.332,5.02%,13.28421053,60,5,12.65263158
383,5.3033E+11,8,2,Block Group 2,800.2,161.6536221,1415,1405.456,1405.345,1420.233,1420.582,1436.845,1456.667,1492.255,10.943,0.78%,77.255,5.46%,9.209876543,77,5.5,8.734567901
384,5.3033E+11,9,2,Block Group 2,900.2,105.589496,926,923.585,935.582,936.741,941.63,958.45,984.73,1011.248,7.963,0.87%,85.248,9.21%,9.537735849,85,9.2,8.735849057
385,5.3033E+11,25,2,Block Group 2,2500.2,89.53418691,1398,1400.817,1394.091,1401.883,1385.231,1406.674,1434.539,1473.597,194.952,16.21%,75.597,5.41%,16.37777778,76,5.4,15.53333333
386,5.3033E+11,58.02,1,Block Group 1,5802.1,90.75735854,1491,1493.354,1494.523,1509.726,1534.742,1556.776,1595.476,1650.694,41.942,2.89%,159.694,10.71%,18.14285714,160,10.7,16.38461538
387,5.3033E+11,58.01,1,Block Group 1,5801.1,52.57463507,1133,1133.608,1147.428,1137.55,1162.441,1191.076,1239.72,1257.961,150.96,15.37%,124.961,11.03%,23.73584906,125,11,21.37735849
388,5.3033E+11,47,2,Block Group 2,4700.2,210.5160677,1394,1401.081,1395.59,1389.334,1411.321,1436.621,1453.639,1625.836,301.957,27.65%,231.836,16.63%,7.706161137,232,16.6,6.606635071
389,5.3033E+11,34,3,Block Group 3,3400.3,66.72240656,1023,1025.377,1031.129,1043.238,1051.985,1067.189,1086.437,1114.088,70.96,7.45%,91.088,8.90%,16.62686567,91,8.9,15.26865672
390,5.3033E+11,66,2,Block Group 2,6600.2,60.27493296,1751,1748.82,1755.769,1791.301,1812.938,1877.89,1919.642,1941.613,163.937,10.33%,190.613,10.89%,32.36666667,191,10.9,29.18333333
391,5.3033E+11,74.01,2,Block Group 2,7401.2,17.87486195,917,1343.432,1395.907,1405.141,1416.718,1439.346,1540.942,1664.948,-113.04,-10.97%,747.948,81.57%,92.5,748,81.6,50.94444444
392,5.3033E+11,61,1,Block Group 1,6100.1,62.31596775,1214,1217.961,1221.224,1224.229,1238.061,1260.809,1287.185,1395.794,139.957,13.03%,181.794,14.98%,22.51612903,182,15,19.58064516
393,5.3033E+11,52,1,Block Group 1,5200.1,18.67746022,1088,1077.494,1090.051,1096.938,1106.358,1123.32,1189.912,1223.784,-33.045,-2.95%,135.784,12.48%,64.42105263,136,12.5,57.26315789
394,5.3033E+11,64,3,Block Group 3,6400.3,91.52931575,1193,1195.416,1198.905,1206.101,1213.251,1220.353,1241.6,1262.285,4.952,0.42%,69.285,5.81%,13.7173913,69,5.8,12.9673913
395,5.3033E+11,62,1,Block Group 1,6200.1,338.5799334,1366,1366.578,1365.539,1371.552,1385.121,1404.102,1452.243,1484.489,41.949,3.17%,118.489,8.67%,4.377581121,118,8.7,4.029498525
396,5.3033E+11,63,3,Block Group 3,6300.3,101.5483351,1078,1080.784,1080.808,1090.989,1091.712,1111.907,1133.184,1159.309,-17.043,-1.56%,81.309,7.54%,11.3627451,81,7.5,10.56862745
397,5.3033E+11,48,1,Block Group 1,4800.1,68.21541727,1060,1061.113,1063.973,1070.128,1076.896,1091.021,1106.971,1133.055,63.96,6.42%,73.055,6.89%,16.66176471,73,6.9,15.58823529
398,5.3033E+11,60,2,Block Group 2,6000.2,104.0079787,1327,1327.576,1328.001,1333.247,1339.988,1355.067,1375.51,1402.696,138.956,11.70%,75.696,5.70%,13.49038462,76,5.7,12.75961538
399,5.3033E+11,81,2,Block Group 2,8100.2,96.9364757,1307,1311.564,1299.607,1308.754,1316.582,1335.147,1349.597,1907.225,262.958,25.19%,600.225,45.92%,19.65979381,600,45.9,13.4742268
400,5.3033E+11,75,4,Block Group 4,7500.4,58.58053136,1403,1458.512,1480.885,1697.013,1910.193,2486.604,3031.154,3171.019,512.964,57.63%,1768.019,126.02%,53.74576271,1768,126,23.77966102
401,5.3033E+11,79,4,Block Group 4,7900.4,18.91566981,967,965.625,965.947,972.183,979.904,995.91,1066.954,1112.799,182.967,23.34%,145.799,15.08%,58.57894737,146,15.1,50.89473684
402,5.3033E+11,100.01,2,Block Group 2,10001.2,221.4010082,1449,1449.65,1450.678,1465.222,1491.698,1514.186,1551.079,1624.329,34.942,2.47%,175.329,12.10%,7.34841629,175,12.1,6.556561086
403,5.3033E+11,101,4,Block Group 4,10100.4,97.29576693,1546,1555.015,1561.644,1575.948,1590.843,1630.235,1678.07,1719.877,286.95,22.79%,173.877,11.25%,17.73195876,174,11.2,15.93814433
404,5.3033E+11,100.02,3,Block Group 3,10002.3,59.97815939,921,922.388,924.345,931.575,935.584,944.256,957.732,975.49,-166.044,-15.28%,54.49,5.92%,16.25,54,5.9,15.35
405,5.3033E+11,100.02,2,Block Group 2,10002.2,61.77239156,1289,1287.953,1288.657,1294.842,1293.048,1379.308,1406.976,1572.603,-97.053,-7.00%,283.603,22.00%,25.37096774,284,22,20.79032258
406,5.3033E+11,106,3,Block Group 3,10600.3,94.59712906,1551,1550.891,1562.923,1567.065,1588.856,1614.527,1687.744,1734.894,51.938,3.47%,183.894,11.86%,18.26315789,184,11.9,16.32631579
407,5.3033E+11,105,1,Block Group 1,10500.1,69.09362979,1016,1297.688,1332.304,1437.029,1457.346,1476.228,1638.066,1703.799,123.965,13.90%,687.799,67.70%,24.69565217,688,67.7,14.72463768
408,5.3033E+11,99,2,Block Group 2,9900.2,263.0627052,1431,1437.059,1452.002,1474.832,1484.471,1531.614,1575.345,1616.56,91.948,6.87%,185.56,12.97%,6.148288973,186,13,5.441064639
409,5.3033E+11,109,2,Block Group 2,10900.2,515.4789355,558,557.43,557.477,559.735,559.582,564.402,578.201,589.462,52.984,10.49%,31.462,5.64%,1.14368932,31,5.6,1.083495146
410,5.3033E+11,112,3,Block Group 3,11200.3,131.8314621,1627,1628.301,1630.436,1640.107,1655.999,1675.321,1717.185,1717.664,89.939,5.85%,90.664,5.57%,13.01515152,91,5.6,12.32575758
411,5.3033E+11,104.02,3,Block Group 3,10402.3,74.62063585,960,961.493,962.137,966.408,972.248,993.699,1012.463,1030.985,23.961,2.56%,70.985,7.39%,13.74666667,71,7.4,12.8
412,5.3033E+11,117,2,Block Group 2,11700.2,392.0230499,1527,1517.515,1527.762,1538.077,1550.343,1569.698,1603.853,1629.257,112.943,7.99%,102.257,6.70%,4.155612245,102,6.7,3.895408163
413,5.3033E+11,103,5,Block Group 5,10300.5,91.23402482,1338,1347.032,1373.535,1591.015,1629.537,1662.442,1701.137,1741.802,-29.056,-2.13%,403.802,30.18%,19.14285714,404,30.2,14.7032967
414,5.3033E+11,117,4,Block Group 4,11700.4,213.8590817,1129,1130.48,1136.64,1142.556,1150.332,1164.625,1179.328,1197.916,175.962,18.46%,68.916,6.10%,5.598130841,69,6.1,5.275700935
415,5.3033E+11,103,2,Block Group 2,10300.2,75.2060285,1255,1254.224,1255.307,1265.75,1276.076,1292.792,1311.809,1329.739,-91.053,-6.76%,74.739,5.96%,17.73333333,75,6,16.73333333
416,5.3033E+11,118,4,Block Group 4,11800.4,96.54728473,1124,1125.33,1126.625,1153.678,1163.487,1185.591,1209.482,1235.628,-355.061,-24.01%,111.628,9.93%,12.74226804,112,9.9,11.58762887
417,5.3033E+11,118,3,Block Group 3,11800.3,83.89647764,1091,1090.333,1093.697,1098.056,1107.54,1118.724,1136.333,1155.792,-2.046,-0.19%,64.792,5.94%,13.76190476,65,5.9,12.98809524
418,5.3033E+11,121,2,Block Group 2,12100.2,211.5818649,1524,1522.76,1525.148,1532.026,1542.457,1558.389,1580.712,1615.359,15.94,1.06%,91.359,6.00%,7.617924528,91,6,7.188679245
419,5.3033E+11,116,6,Block Group 6,11600.6,219.8616507,1188,1191.022,1194.808,1196.889,1196.921,1214.926,1236.572,1223.967,82.954,7.51%,35.967,3.03%,5.563636364,36,3,5.4
